,Index,Label
4643,56907,Shaking Hand
4650,32837,Rolling Hand Forward
4651,103701,Sliding Two Fingers Down
4654,133421,Sliding Two Fingers Down
4655,108619,Thumb Up
4657,43624,Sliding Two Fingers Down
4660,101908,Pushing Two Fingers Away
4661,126386,Thumb Up
4665,41118,No gesture
4666,41862,Thumb Up
4667,119781,Turning Hand Counterclockwise
4671,80966,Turning Hand Counterclockwise
4674,56958,Sliding Two Fingers Down
4678,37125,No gesture
4679,59287,Rolling Hand Forward
4684,20969,Sliding Two Fingers Right
4685,101045,Rolling Hand Forward
4690,89231,No gesture
4691,56829,No gesture
4693,86802,Sliding Two Fingers Down
4695,79196,Pulling Hand In
4696,113270,Sliding Two Fingers Down
4698,64144,Shaking Hand
4699,44502,Sliding Two Fingers Left
4701,122072,Rolling Hand Forward
4703,128477,Rolling Hand Forward
4713,115907,Sliding Two Fingers Left
4718,54865,Sliding Two Fingers Right
4719,68677,Thumb Up
4720,71969,Rolling Hand Forward
4722,69782,Sliding Two Fingers Right
4724,87572,No gesture
4728,53505,Sliding Two Fingers Left
4730,141988,Sliding Two Fingers Right
4731,138214,Shaking Hand
4733,134894,Sliding Two Fingers Right
4734,112038,Sliding Two Fingers Left
4735,51431,No gesture
4736,121751,Pulling Hand In
4737,130598,Sliding Two Fingers Left
4739,129484,Pulling Hand In
4741,98110,Rolling Hand Forward
4744,92635,No gesture
4745,65139,Pulling Hand In
4748,40394,Thumb Up
4751,128911,Rolling Hand Forward
4754,145316,No gesture
4757,146875,Pushing Two Fingers Away
4762,95094,Sliding Two Fingers Down
4765,79462,Pulling Hand In
4773,69831,Pushing Two Fingers Away
4774,51388,Sliding Two Fingers Left
4777,84575,Thumb Up
4780,12096,Sliding Two Fingers Left
4781,116256,Sliding Two Fingers Left
4783,112883,Turning Hand Counterclockwise
4792,96498,Rolling Hand Forward
4797,23512,Thumb Up
4800,122587,Sliding Two Fingers Right
4803,44489,Turning Hand Counterclockwise
4804,293,Sliding Two Fingers Right
4805,25731,Sliding Two Fingers Left
4806,42520,Sliding Two Fingers Down
4808,115221,Rolling Hand Forward
4809,77379,Sliding Two Fingers Right
4816,122921,Turning Hand Counterclockwise
4819,144448,Pulling Hand In
4825,133600,Pushing Two Fingers Away
4826,66318,Shaking Hand
4829,71873,Pulling Hand In
4830,124757,Sliding Two Fingers Right
4831,3711,Rolling Hand Forward
4833,65958,Pulling Hand In
4836,83621,Rolling Hand Forward
4839,10477,Sliding Two Fingers Left
4841,101496,Shaking Hand
4848,139830,Pulling Hand In
4851,55512,Pulling Hand In
4852,73856,Sliding Two Fingers Right
4853,26604,Thumb Up
4855,72292,Rolling Hand Forward
4859,83181,Sliding Two Fingers Left
4862,56141,Pulling Hand In
4863,63799,Pulling Hand In
4866,51587,Rolling Hand Forward
4867,64432,Sliding Two Fingers Down
4869,74881,Shaking Hand
4870,42472,Pushing Two Fingers Away
4874,92366,Sliding Two Fingers Right
4878,3803,Rolling Hand Forward
4881,57492,Shaking Hand
4884,7854,Rolling Hand Forward
4888,54176,Sliding Two Fingers Right
4889,102744,Rolling Hand Forward
4892,73252,Rolling Hand Forward
4893,70665,Shaking Hand
4897,101794,Rolling Hand Forward
4905,35014,Turning Hand Counterclockwise
4907,3700,Rolling Hand Forward
4908,47523,Sliding Two Fingers Right
4909,128691,Sliding Two Fingers Down
4910,42571,Sliding Two Fingers Left
4911,94708,Sliding Two Fingers Left
4920,115329,Sliding Two Fingers Left
4921,55251,Pushing Two Fingers Away
4922,147741,Thumb Up
4925,79527,Thumb Up
4929,118839,Sliding Two Fingers Down
4932,71392,Turning Hand Counterclockwise
4936,24784,Rolling Hand Forward
4939,74248,Sliding Two Fingers Left
4942,30989,Thumb Up
4949,144434,Sliding Two Fingers Down
4950,50257,Sliding Two Fingers Right
4959,123591,Shaking Hand
4961,44944,Sliding Two Fingers Right
4963,81709,Pushing Two Fingers Away
4971,61223,Thumb Up
4979,7921,Pulling Hand In
4986,37293,Sliding Two Fingers Down
4988,9450,Pushing Two Fingers Away
4989,19642,No gesture
4991,50090,Sliding Two Fingers Down
4993,104617,Pushing Two Fingers Away
4995,1258,Sliding Two Fingers Left
5001,83416,Thumb Up
5002,52219,Sliding Two Fingers Left
5003,6259,No gesture
5004,75936,Rolling Hand Forward
5005,76300,Shaking Hand
5008,25771,No gesture
5010,101010,Pulling Hand In
5014,120858,Thumb Up
5020,31318,Shaking Hand
5021,122923,No gesture
5023,35556,Sliding Two Fingers Right
5024,70854,Sliding Two Fingers Left
5029,24214,Shaking Hand
5030,106432,Sliding Two Fingers Down
5036,100235,Pulling Hand In
5042,40656,Sliding Two Fingers Down
5045,694,Shaking Hand
5051,138334,Pulling Hand In
5052,4147,Pulling Hand In
5053,3814,No gesture
5054,141874,Pulling Hand In
5055,8963,Sliding Two Fingers Down
5057,26831,Thumb Up
5059,127213,Turning Hand Counterclockwise
5062,72374,Sliding Two Fingers Down
5064,59460,Shaking Hand
5065,85804,Sliding Two Fingers Left
5066,125399,Rolling Hand Forward
5070,121012,Shaking Hand
5077,76789,Shaking Hand
5079,41749,Sliding Two Fingers Down
5082,130461,Sliding Two Fingers Right
5083,17244,Pushing Two Fingers Away
5090,20009,Rolling Hand Forward
5091,71672,Rolling Hand Forward
5093,58334,Sliding Two Fingers Down
5098,88758,Pulling Hand In
5106,133927,Pushing Two Fingers Away
5107,81107,Turning Hand Counterclockwise
5108,62897,Pushing Two Fingers Away
5110,118176,Rolling Hand Forward
5112,72859,No gesture
5116,93443,Sliding Two Fingers Left
5122,38324,Sliding Two Fingers Down
5123,39701,Sliding Two Fingers Right
5124,88485,No gesture
5126,829,Shaking Hand
5127,145841,Pushing Two Fingers Away
5130,56345,No gesture
5131,29906,Rolling Hand Forward
5134,48310,Pushing Two Fingers Away
5137,85769,Rolling Hand Forward
5142,102480,Rolling Hand Forward
5145,106693,Pulling Hand In
5147,133728,Turning Hand Counterclockwise
5153,21676,Rolling Hand Forward
5154,63244,Sliding Two Fingers Left
5160,82857,Sliding Two Fingers Left
5165,98787,Sliding Two Fingers Down
5166,40480,Shaking Hand
5170,29280,Turning Hand Counterclockwise
5172,53949,Thumb Up
5174,9957,Rolling Hand Forward
5175,115309,Thumb Up
5177,120073,Pushing Two Fingers Away
5178,103371,Thumb Up
5183,88157,Shaking Hand
5184,137827,Turning Hand Counterclockwise
5187,114929,Shaking Hand
5192,77665,Pushing Two Fingers Away
5193,32199,Pushing Two Fingers Away
5203,28815,Pushing Two Fingers Away
5207,64630,Pulling Hand In
5212,92970,Sliding Two Fingers Down
5214,43801,Shaking Hand
5215,107511,Pulling Hand In
5227,95798,Pulling Hand In
5229,34427,Thumb Up
5231,106228,Sliding Two Fingers Down
5233,40998,Rolling Hand Forward
5234,107754,No gesture
5236,56857,Shaking Hand
5238,83289,Sliding Two Fingers Down
5243,88972,Thumb Up
5250,71014,No gesture
5252,130381,No gesture
5254,73541,No gesture
5255,54782,No gesture
5257,135840,Rolling Hand Forward
5260,25782,Rolling Hand Forward
5262,27085,No gesture
5266,119483,No gesture
5267,38229,Sliding Two Fingers Right
5271,74365,Sliding Two Fingers Down
5272,110979,Rolling Hand Forward
5275,126711,Sliding Two Fingers Down
5283,9183,Rolling Hand Forward
5284,8612,Turning Hand Counterclockwise
5285,24835,No gesture
5286,62011,Thumb Up
5288,93156,Sliding Two Fingers Right
5292,26356,Thumb Up
5293,22887,Sliding Two Fingers Right
5298,57715,Pushing Two Fingers Away
5301,94205,No gesture
5303,47228,Thumb Up
5305,133319,Pushing Two Fingers Away
5310,127832,Shaking Hand
5311,8492,Rolling Hand Forward
5312,128889,No gesture
5314,39041,Shaking Hand
5323,82336,Pushing Two Fingers Away
5325,94183,Sliding Two Fingers Right
5331,10237,Thumb Up
5333,34732,Thumb Up
5334,87981,Shaking Hand
5338,92673,Sliding Two Fingers Down
5339,59186,Shaking Hand
5341,106690,Rolling Hand Forward
5342,109612,Sliding Two Fingers Left
5347,70768,Pushing Two Fingers Away
5348,26505,No gesture
5349,5207,Pushing Two Fingers Away
5350,60801,Rolling Hand Forward
5353,122852,Shaking Hand
5355,35553,Sliding Two Fingers Down
5360,86544,Pushing Two Fingers Away
5364,37086,Pushing Two Fingers Away
5367,104927,No gesture
5369,26325,Pushing Two Fingers Away
5374,71898,Sliding Two Fingers Right
5375,58730,Pulling Hand In
5377,69211,Sliding Two Fingers Right
5380,525,Sliding Two Fingers Right
5387,65210,Sliding Two Fingers Down
5388,33612,No gesture
5389,136244,Pushing Two Fingers Away
5390,138758,Sliding Two Fingers Right
5391,83662,No gesture
5394,109052,Sliding Two Fingers Right
5397,43320,Pushing Two Fingers Away
5400,127148,Pulling Hand In
5401,123622,Pushing Two Fingers Away
5402,15941,Sliding Two Fingers Down
5404,39697,Sliding Two Fingers Right
5410,84246,Shaking Hand
5411,108847,Rolling Hand Forward
5412,126270,Sliding Two Fingers Down
5413,34439,Pushing Two Fingers Away
5416,115890,Thumb Up
5422,147333,Rolling Hand Forward
5424,20914,Pulling Hand In
5425,82715,Pushing Two Fingers Away
5426,102822,No gesture
5427,115798,Thumb Up
5429,82239,Thumb Up
5431,116685,No gesture
5432,80559,Sliding Two Fingers Down
5433,34590,Rolling Hand Forward
5437,65289,Thumb Up
5442,13486,Sliding Two Fingers Left
5444,48101,Thumb Up
5445,23781,Rolling Hand Forward
5446,145516,Rolling Hand Forward
5449,97734,Pulling Hand In
5454,144298,Pulling Hand In
5459,10028,Pushing Two Fingers Away
5462,31761,Sliding Two Fingers Down
5463,22642,Sliding Two Fingers Down
5473,86482,Pulling Hand In
5476,85135,Sliding Two Fingers Down
5484,19059,Thumb Up
5485,46526,Thumb Up
5486,131028,Pulling Hand In
5487,139819,Turning Hand Counterclockwise
5497,147765,Thumb Up
5500,31019,Thumb Up
5502,82468,Pulling Hand In
5503,59138,Pushing Two Fingers Away
5512,128448,Sliding Two Fingers Left
5515,8683,Shaking Hand
5516,60614,Sliding Two Fingers Left
5517,86200,Shaking Hand
5528,61652,Thumb Up
5529,91341,Sliding Two Fingers Down
5530,121936,Pulling Hand In
5532,146225,Pushing Two Fingers Away
5533,25080,Sliding Two Fingers Right
5535,120497,Pushing Two Fingers Away
5536,68277,Pulling Hand In
5545,47099,Turning Hand Counterclockwise
5546,53255,Turning Hand Counterclockwise
5547,68684,Sliding Two Fingers Down
5548,49943,Turning Hand Counterclockwise
5549,113636,Shaking Hand
5550,109827,Pushing Two Fingers Away
5554,112547,Pulling Hand In
5556,63224,No gesture
5557,29300,Thumb Up
5559,132470,Rolling Hand Forward
5560,66112,Pushing Two Fingers Away
5564,102138,Rolling Hand Forward
5568,18931,Thumb Up
5569,84067,Sliding Two Fingers Right
5570,71407,Thumb Up
5575,14030,No gesture
5576,114331,Thumb Up
5578,9769,Shaking Hand
5581,128014,Thumb Up
5582,9266,No gesture
5584,118006,No gesture
5585,3963,Sliding Two Fingers Left
5586,85686,Pushing Two Fingers Away
5588,10208,No gesture
5589,59677,Pushing Two Fingers Away
5590,113223,Shaking Hand
5591,8106,Pushing Two Fingers Away
5592,119104,Sliding Two Fingers Down
5595,142048,Shaking Hand
5596,83861,Sliding Two Fingers Left
5598,122658,Sliding Two Fingers Down
5601,38302,Shaking Hand
5604,88071,Sliding Two Fingers Left
5605,57452,Sliding Two Fingers Down
5608,125751,Sliding Two Fingers Right
5609,124608,No gesture
5613,62416,Sliding Two Fingers Down
5619,45434,Shaking Hand
5625,139816,Rolling Hand Forward
5626,6531,Pulling Hand In
5630,70202,Shaking Hand
5634,140853,Sliding Two Fingers Left
5636,49868,Shaking Hand
5637,90151,Sliding Two Fingers Right
5640,25148,Sliding Two Fingers Right
5642,71881,Sliding Two Fingers Right
5646,35232,Shaking Hand
5650,11207,Turning Hand Counterclockwise
5653,27506,Shaking Hand
5654,3808,Shaking Hand
5659,62647,No gesture
5667,71657,Pushing Two Fingers Away
5676,95013,Turning Hand Counterclockwise
5678,123262,Shaking Hand
5682,87855,Turning Hand Counterclockwise
5683,12091,Sliding Two Fingers Down
5684,135525,No gesture
5689,11176,Pushing Two Fingers Away
5693,25368,Sliding Two Fingers Down
5697,107349,Sliding Two Fingers Right
5699,116026,Rolling Hand Forward
5706,105988,Thumb Up
5708,6920,Sliding Two Fingers Down
5710,106501,No gesture
5711,21394,Rolling Hand Forward
5715,61867,Shaking Hand
5720,100713,Sliding Two Fingers Left
5721,63736,Thumb Up
5732,88567,Sliding Two Fingers Right
5733,72403,Pulling Hand In
5735,145979,Thumb Up
5739,113197,Sliding Two Fingers Right
5740,66948,Pushing Two Fingers Away
5741,128555,Sliding Two Fingers Left
5743,23161,Pushing Two Fingers Away
5745,3583,Rolling Hand Forward
5746,73394,Sliding Two Fingers Right
5752,131999,Turning Hand Counterclockwise
5758,67914,Pulling Hand In
5767,50502,Shaking Hand
5768,137253,Sliding Two Fingers Down
5772,84717,Shaking Hand
5774,99429,No gesture
5775,136521,Thumb Up
5776,107529,Pulling Hand In
5777,8896,Thumb Up
5782,244,Pulling Hand In
5784,98707,Pushing Two Fingers Away
5787,125449,Thumb Up
5788,44282,Thumb Up
5790,92784,Pushing Two Fingers Away
5792,56818,Thumb Up
5794,17337,Pulling Hand In
5795,123135,Turning Hand Counterclockwise
5797,81055,Sliding Two Fingers Right
5800,38026,Shaking Hand
5802,102430,Sliding Two Fingers Right
5806,69463,Shaking Hand
5810,89601,Rolling Hand Forward
5811,56828,Sliding Two Fingers Right
5813,117103,Turning Hand Counterclockwise
5814,23487,Sliding Two Fingers Left
5822,11293,Pushing Two Fingers Away
5823,63757,Rolling Hand Forward
5826,28373,Pulling Hand In
5827,36109,Sliding Two Fingers Right
5829,127399,Turning Hand Counterclockwise
5830,51035,Pushing Two Fingers Away
5831,26792,Thumb Up
5833,121056,Sliding Two Fingers Right
5834,63895,Turning Hand Counterclockwise
5837,64796,Shaking Hand
5839,142615,Sliding Two Fingers Down
5845,10326,Pulling Hand In
5846,48182,Turning Hand Counterclockwise
5848,119892,Shaking Hand
5849,88538,Sliding Two Fingers Right
5854,88483,Pushing Two Fingers Away
5857,113369,Rolling Hand Forward
5858,13488,Pushing Two Fingers Away
5860,100011,Thumb Up
5861,106974,Thumb Up
5864,75274,Pushing Two Fingers Away
5866,84656,No gesture
5869,98169,Sliding Two Fingers Left
5874,125382,Thumb Up
5875,25983,Shaking Hand
5877,65410,Sliding Two Fingers Down
5878,119002,Sliding Two Fingers Down
5879,58580,Turning Hand Counterclockwise
5884,143652,Shaking Hand
5886,98114,Shaking Hand
5887,94897,Thumb Up
5892,115734,Sliding Two Fingers Right
5893,56326,Pulling Hand In
5900,36456,Thumb Up
5901,93297,Turning Hand Counterclockwise
5902,121062,Sliding Two Fingers Right
5906,71458,Sliding Two Fingers Right
5917,121424,Rolling Hand Forward
5918,7859,Pulling Hand In
5919,15906,Pulling Hand In
5920,86869,No gesture
5923,102716,Thumb Up
5926,30311,Sliding Two Fingers Down
5928,1359,Rolling Hand Forward
5932,9974,Pushing Two Fingers Away
5933,85146,No gesture
5936,141981,Pushing Two Fingers Away
5937,105138,No gesture
5938,124217,Sliding Two Fingers Right
5940,46963,Pushing Two Fingers Away
5941,31913,No gesture
5950,49878,No gesture
5951,21440,Sliding Two Fingers Down
5957,43280,No gesture
5959,58681,Thumb Up
5961,115023,Sliding Two Fingers Right
5962,112951,Pushing Two Fingers Away
5964,45308,Pushing Two Fingers Away
5966,77120,No gesture
5967,141439,No gesture
5968,26452,Thumb Up
5972,74553,Thumb Up
5973,146134,No gesture
5974,112578,Sliding Two Fingers Right
5976,32300,Rolling Hand Forward
5977,146709,Rolling Hand Forward
5980,63696,Sliding Two Fingers Down
5981,122145,Pushing Two Fingers Away
5982,83804,Rolling Hand Forward
5983,97238,Pulling Hand In
5986,19938,Shaking Hand
5989,138259,Pulling Hand In
5990,33935,Sliding Two Fingers Down
5993,37543,Sliding Two Fingers Down
5995,62115,Thumb Up
6001,22788,Sliding Two Fingers Left
6002,24278,Pulling Hand In
6003,14717,Rolling Hand Forward
6005,56678,Sliding Two Fingers Right
6007,26494,Sliding Two Fingers Right
6010,73753,Turning Hand Counterclockwise
6012,55049,Pushing Two Fingers Away
6015,53786,Pulling Hand In
6017,123447,Sliding Two Fingers Right
6019,130997,Sliding Two Fingers Left
6020,119295,Shaking Hand
6022,108632,Pushing Two Fingers Away
6024,123772,Thumb Up
6030,61205,Shaking Hand
6031,100606,Sliding Two Fingers Right
6036,141678,Sliding Two Fingers Right
6038,33314,Sliding Two Fingers Left
6040,64594,Sliding Two Fingers Right
6041,74988,Rolling Hand Forward
6044,97717,Pulling Hand In
6045,26007,Thumb Up
6046,9018,Sliding Two Fingers Down
6054,109986,Sliding Two Fingers Left
6055,127798,No gesture
6056,38368,No gesture
6063,10966,Rolling Hand Forward
6064,28540,Sliding Two Fingers Right
6070,123673,Sliding Two Fingers Down
6076,52135,Turning Hand Counterclockwise
6077,5920,Sliding Two Fingers Right
6081,140869,Sliding Two Fingers Right
6083,120247,Rolling Hand Forward
6084,99491,Sliding Two Fingers Down
6085,120332,Sliding Two Fingers Down
6088,21224,Pushing Two Fingers Away
6089,83353,Turning Hand Counterclockwise
6090,4404,Sliding Two Fingers Left
6091,30954,Sliding Two Fingers Left
6093,99312,Pushing Two Fingers Away
6094,68295,Rolling Hand Forward
6098,45538,No gesture
6099,22681,Pulling Hand In
6101,25133,Sliding Two Fingers Left
6107,76970,Pulling Hand In
6109,8844,Thumb Up
6110,49612,Turning Hand Counterclockwise
6111,50651,No gesture
6113,88909,Rolling Hand Forward
6115,33986,Sliding Two Fingers Right
6118,131667,Rolling Hand Forward
6119,47896,Pushing Two Fingers Away
6120,88786,Sliding Two Fingers Down
6122,112894,Rolling Hand Forward
6125,91242,Turning Hand Counterclockwise
6127,96949,Sliding Two Fingers Left
6129,12875,Pushing Two Fingers Away
6131,129080,Sliding Two Fingers Left
6134,102050,Sliding Two Fingers Left
6138,1348,Rolling Hand Forward
6149,109990,Thumb Up
6150,3056,Sliding Two Fingers Right
6152,75165,Thumb Up
6156,67365,No gesture
6159,31146,No gesture
6160,116067,Rolling Hand Forward
6164,67231,Turning Hand Counterclockwise
6168,54797,Rolling Hand Forward
6173,37876,Shaking Hand
6174,60676,Shaking Hand
6175,85814,Pushing Two Fingers Away
6176,140787,Turning Hand Counterclockwise
6181,136950,Thumb Up
6185,37131,Sliding Two Fingers Left
6191,114631,Turning Hand Counterclockwise
6193,141165,Thumb Up
6194,16339,No gesture
6196,57486,Shaking Hand
6197,132578,Sliding Two Fingers Down
6198,51879,Pushing Two Fingers Away
6207,54227,Turning Hand Counterclockwise
6211,73196,Sliding Two Fingers Down
6213,70347,Sliding Two Fingers Down
6215,77905,Rolling Hand Forward
6216,35657,Turning Hand Counterclockwise
6219,146916,Sliding Two Fingers Right
6221,6098,Shaking Hand
6222,113573,Sliding Two Fingers Down
6223,46845,No gesture
6224,114299,Sliding Two Fingers Right
6229,87880,Thumb Up
6232,134458,Turning Hand Counterclockwise
6234,147526,Pushing Two Fingers Away
6237,97385,Pushing Two Fingers Away
6238,56842,No gesture
6240,58420,Thumb Up
6245,6173,Pulling Hand In
6247,104337,Sliding Two Fingers Right
6255,27076,No gesture
6259,75407,Sliding Two Fingers Right
6260,9823,Sliding Two Fingers Right
6264,116668,Turning Hand Counterclockwise
6265,46918,Sliding Two Fingers Left
6267,59251,Turning Hand Counterclockwise
6270,17743,Pushing Two Fingers Away
6271,67900,Sliding Two Fingers Down
6276,138532,Shaking Hand
6280,105373,Thumb Up
6283,79875,Pushing Two Fingers Away
6285,48993,Shaking Hand
6286,143597,Sliding Two Fingers Right
6291,67649,Shaking Hand
6292,124323,Shaking Hand
6295,27915,Rolling Hand Forward
6299,51210,No gesture
6309,133757,Rolling Hand Forward
6310,94331,Rolling Hand Forward
6314,19674,Rolling Hand Forward
6318,24618,Rolling Hand Forward
6323,56764,No gesture
6324,128098,Sliding Two Fingers Left
6327,61721,Rolling Hand Forward
6333,76424,Pushing Two Fingers Away
6334,141833,Pulling Hand In
6335,52991,Shaking Hand
6339,98860,Shaking Hand
6341,129247,Sliding Two Fingers Right
6344,30758,Thumb Up
6347,136666,Sliding Two Fingers Right
6358,128227,Thumb Up
6360,41836,Thumb Up
6361,73855,Sliding Two Fingers Down
6365,146382,Thumb Up
6367,25144,No gesture
6368,91229,Pushing Two Fingers Away
6374,108186,No gesture
6375,89098,Sliding Two Fingers Right
6379,120237,Thumb Up
6382,10033,Sliding Two Fingers Right
6384,43496,Sliding Two Fingers Left
6386,11534,Pulling Hand In
6387,35154,Sliding Two Fingers Down
6389,68223,Shaking Hand
6392,91109,Pulling Hand In
6396,35493,Shaking Hand
6397,7191,Thumb Up
6400,49976,Rolling Hand Forward
6409,20987,Sliding Two Fingers Left
6412,145703,Pushing Two Fingers Away
6413,37323,Pushing Two Fingers Away
6414,99769,Turning Hand Counterclockwise
6415,98254,No gesture
6416,126409,Sliding Two Fingers Left
6417,62006,No gesture
6419,53370,Sliding Two Fingers Right
6421,93369,Sliding Two Fingers Down
6422,46301,Pushing Two Fingers Away
6423,66057,Turning Hand Counterclockwise
6430,72805,Rolling Hand Forward
6434,48283,Rolling Hand Forward
6435,126420,Pushing Two Fingers Away
6436,43440,Pulling Hand In
6439,37256,Turning Hand Counterclockwise
6441,97623,Pulling Hand In
6442,99648,Turning Hand Counterclockwise
6444,77688,Pushing Two Fingers Away
6446,121180,Sliding Two Fingers Down
6450,34001,Sliding Two Fingers Down
6452,104227,Pulling Hand In
6454,68739,Pushing Two Fingers Away
6455,30127,Rolling Hand Forward
6458,75645,Sliding Two Fingers Right
6459,145648,Sliding Two Fingers Right
6462,8010,Rolling Hand Forward
6464,25130,Pushing Two Fingers Away
6468,84888,No gesture
6472,108963,Sliding Two Fingers Right
6476,11907,Pushing Two Fingers Away
6478,50037,Sliding Two Fingers Left
6482,137211,Pushing Two Fingers Away
6484,96559,No gesture
6487,133613,Sliding Two Fingers Right
6491,120009,Rolling Hand Forward
6492,109851,Sliding Two Fingers Left
6494,35810,Shaking Hand
6495,3337,Sliding Two Fingers Down
6497,29869,Rolling Hand Forward
6498,36720,Thumb Up
6503,123737,Thumb Up
6505,127043,No gesture
6514,74066,Pushing Two Fingers Away
6517,104460,Thumb Up
6518,120352,Sliding Two Fingers Down
6520,119270,Turning Hand Counterclockwise
6523,6041,Sliding Two Fingers Right
6527,85349,Sliding Two Fingers Down
6529,85880,Pulling Hand In
6531,111101,Turning Hand Counterclockwise
6532,78253,Pushing Two Fingers Away
6534,77696,No gesture
6536,6549,Turning Hand Counterclockwise
6537,59803,Sliding Two Fingers Right
6539,35763,No gesture
6541,122229,Rolling Hand Forward
6542,93614,Turning Hand Counterclockwise
6543,20668,Shaking Hand
6545,14782,Sliding Two Fingers Right
6550,40842,No gesture
6551,75665,Pulling Hand In
6552,133007,Thumb Up
6555,134675,Turning Hand Counterclockwise
6556,113847,No gesture
6561,142348,Turning Hand Counterclockwise
6567,132051,Pulling Hand In
6572,68019,Turning Hand Counterclockwise
6575,127666,Sliding Two Fingers Down
6576,52948,Sliding Two Fingers Down
6577,3314,Thumb Up
6579,47813,Turning Hand Counterclockwise
6581,75809,Pulling Hand In
6587,60626,Shaking Hand
6588,17886,Pulling Hand In
6593,115304,Sliding Two Fingers Right
6595,71032,Sliding Two Fingers Left
6596,131036,Shaking Hand
6599,13717,Turning Hand Counterclockwise
6600,72077,Sliding Two Fingers Down
6606,114098,Turning Hand Counterclockwise
6607,117278,Rolling Hand Forward
6608,131324,Sliding Two Fingers Down
6610,70136,Pulling Hand In
6613,21060,No gesture
6616,34421,Pulling Hand In
6617,58361,Thumb Up
6618,100781,Pulling Hand In
6624,114161,Rolling Hand Forward
6625,86731,Pushing Two Fingers Away
6630,35600,Rolling Hand Forward
6634,45499,Pushing Two Fingers Away
6635,53242,Turning Hand Counterclockwise
6640,55623,Sliding Two Fingers Down
6641,102223,Pulling Hand In
6642,18265,Rolling Hand Forward
6643,21646,Sliding Two Fingers Left
6644,144099,Turning Hand Counterclockwise
6653,51836,Pushing Two Fingers Away
6662,112573,Rolling Hand Forward
6663,81582,Pushing Two Fingers Away
6673,45593,Pushing Two Fingers Away
6676,101990,Turning Hand Counterclockwise
6678,136268,Pulling Hand In
6681,44486,Sliding Two Fingers Right
6686,73178,Sliding Two Fingers Right
6689,131984,Sliding Two Fingers Left
6690,75069,Thumb Up
6696,81194,Sliding Two Fingers Left
6700,61528,Sliding Two Fingers Right
6701,82322,Thumb Up
6705,54973,Sliding Two Fingers Right
6708,139681,Sliding Two Fingers Left
6709,144267,Sliding Two Fingers Left
6711,98367,No gesture
6712,144171,Turning Hand Counterclockwise
6713,63677,Thumb Up
6714,105856,Turning Hand Counterclockwise
6715,5338,Pushing Two Fingers Away
6717,78341,Sliding Two Fingers Right
6722,76351,Sliding Two Fingers Down
6727,37333,Pulling Hand In
6730,69728,Rolling Hand Forward
6731,70711,Shaking Hand
6732,42543,Thumb Up
6736,21800,Sliding Two Fingers Left
6740,83095,Sliding Two Fingers Down
6744,133838,Pulling Hand In
6745,89399,Pushing Two Fingers Away
6749,29726,Pulling Hand In
6753,139420,Thumb Up
6755,84891,Sliding Two Fingers Left
6758,12226,Pushing Two Fingers Away
6760,57580,Shaking Hand
6761,30124,Sliding Two Fingers Right
6765,30435,Sliding Two Fingers Left
6769,26015,No gesture
6770,61148,Rolling Hand Forward
6772,31009,Pushing Two Fingers Away
6774,39554,Sliding Two Fingers Left
6775,118326,Pushing Two Fingers Away
6776,70664,Turning Hand Counterclockwise
6779,117401,Rolling Hand Forward
6781,127827,Rolling Hand Forward
6782,56324,Rolling Hand Forward
6783,20989,Shaking Hand
6787,13124,Thumb Up
6794,115451,Shaking Hand
6807,46270,Pulling Hand In
6808,141758,Sliding Two Fingers Down
6809,120454,Sliding Two Fingers Down
6811,89142,Sliding Two Fingers Right
6814,7576,Sliding Two Fingers Down
6817,9194,Sliding Two Fingers Down
6819,83802,Sliding Two Fingers Right
6823,60116,Pushing Two Fingers Away
6825,70085,Pulling Hand In
6829,59801,Thumb Up
6838,4015,Sliding Two Fingers Right
6842,53413,Thumb Up
6843,6258,Pushing Two Fingers Away
6847,49500,Rolling Hand Forward
6852,136554,No gesture
6856,107068,Sliding Two Fingers Right
6861,7466,Shaking Hand
6862,86124,Turning Hand Counterclockwise
6865,70173,Shaking Hand
6867,8568,Sliding Two Fingers Left
6868,65829,Sliding Two Fingers Down
6875,16848,No gesture
6876,100199,Pushing Two Fingers Away
6880,81351,Sliding Two Fingers Left
6883,36942,Shaking Hand
6885,104419,Rolling Hand Forward
6886,36426,Thumb Up
6887,34655,Turning Hand Counterclockwise
6894,46752,Shaking Hand
6895,19929,Turning Hand Counterclockwise
6899,27388,Shaking Hand
6900,43635,Pushing Two Fingers Away
6901,18731,No gesture
6903,6477,Sliding Two Fingers Left
6904,100824,Thumb Up
6910,45128,Rolling Hand Forward
6911,65828,Shaking Hand
6912,68238,Thumb Up
6914,145662,No gesture
6918,83050,Shaking Hand
6929,42032,Sliding Two Fingers Right
6931,84629,Sliding Two Fingers Down
6937,9163,Sliding Two Fingers Right
6940,22361,Pushing Two Fingers Away
6944,26276,Thumb Up
6947,112760,Turning Hand Counterclockwise
6949,18034,Sliding Two Fingers Right
6950,4946,Sliding Two Fingers Down
6951,90797,Shaking Hand
6952,32449,Turning Hand Counterclockwise
6956,42798,Turning Hand Counterclockwise
6957,101903,Turning Hand Counterclockwise
6958,127969,Pushing Two Fingers Away
6966,133351,Thumb Up
6968,117301,Pulling Hand In
6971,17218,Sliding Two Fingers Right
6972,16752,Sliding Two Fingers Right
6975,2850,No gesture
6978,20180,Pushing Two Fingers Away
